id,CountryCode,CountryName
1,7840,Abkhazia
2,93,Afghanistan
3,355,Albania
4,213,Algeria
5,1684,American Samoa
6,376,Andorra
7,244,Angola
8,1,Anguilla
9,1268,Antigua And Barbuda
10,54,Argentina
11,374,Armenia
12,297,Aruba
13,61,Australia
14,43,Austria
15,994,Azerbaijan
16,1,Bahamas
17,973,Bahrain
18,880,Bangladesh
19,1246,Barbados
20,375,Belarus
21,32,Belgium
22,501,Belize
23,229,Benin
24,1441,Bermuda
25,975,Bhutan
26,591,Bolivia
27,387,Bosnia and Herzegovina
28,267,Botswana
29,55,Brazil
30,1,British Virgin Islands
31,673,Brunei
32,359,Bulgaria
33,226,Burkina Faso
34,257,Burundi
35,855,Cambodia
36,237,Cameroon
37,1,Canada
38,238,Cape Verde
39,1345,Cayman Islands
40,236,Central African Republic
41,235,Chad
42,56,Chile
43,86,China
44,57,Colombia
45,269,Comoros
46,242,Congo
47,682,Cook Islands
48,506,Costa Rica
49,225,C̫te d'Ivoire
50,385,Croatia
51,53,Cuba
52,357,Cyprus
53,420,Czech Republic
54,45,Denmark
55,246,Diego Garcia
56,253,Djibouti
57,1,Dominican Republic
58,593,Ecuador
59,20,Egypt
60,503,El Salvador
61,240,Equatorial Guinea
62,291,Eritrea
63,372,Estonia
64,251,Ethiopia
65,500,Falkland Islands
66,298,Faroe Islands
67,679,Fiji
68,358,Finland
69,33,France
70,594,French Guiana
71,689,French Polynesia
72,241,Gabon
73,220,Gambia
74,995,Georgia
75,49,Germany
76,233,Ghana
77,350,Gibraltar
78,30,Greece
79,299,Greenland
80,1473,Grenada
81,590,Guadeloupe
82,1671,Guam
83,502,Guatemala
84,224,Guinea
85,245,Guinea-Bissau
86,592,Guyana
87,509,Haiti
88,504,Honduras
89,852,Hong Kong
90,36,Hungary
91,354,Iceland
92,91,India
93,62,Indonesia
94,870,Inmarsat
95,98,Iran
96,964,Iraq
97,353,Ireland
98,972,Israel
99,39,Italy
100,1876,Jamaica
101,81,Japan
102,962,Jordan
103,7,Kazakhstan
104,254,Kenya
105,686,Kiribati
106,965,Kuwait
107,996,Kyrgyzstan
108,856,Laos
109,371,Latvia
110,961,Lebanon
111,266,Lesotho
112,231,Liberia
113,218,Libya
114,423,Liechtenstein
115,370,Lithuania
116,352,Luxembourg
117,853,Macao
118,389,Macedonia
119,261,Madagascar
120,265,Malawi
121,60,Malaysia
122,960,Maldives
123,223,Mali
124,356,Malta
125,1,Marina Islands
126,692,Marshall Islands
127,596,Martinique
128,222,Mauritania
129,230,Mauritius
130,52,Mexico
131,691,Micronesia
132,373,Moldova
133,377,Monaco
134,976,Mongolia
135,382,Montenegro
136,1,Montserrat
137,212,Morocco
138,258,Mozambique
139,95,Myanmar
140,264,Namibia
141,674,Nauru
142,977,Nepal
143,599,Netherland A
144,31,Netherlands
145,687,New Caledonia
146,64,New Zealand
147,505,Nicaragua
148,227,Niger
149,234,Nigeria
150,683,Niue
151,672,Norfolk Island
152,850,North Korea
153,47,Norway
154,968,Oman
155,92,Pakistan
156,680,Palau
157,970,Palestine
158,507,Panama
159,675,Papua New Guinea
160,595,Paraguay
161,51,Peru
162,63,Philippines
163,48,Poland
164,351,Portugal
165,1,Puerto Rico
166,974,Qatar
167,262,Reunion
168,40,Romania
169,7,Russia
170,250,Rwanda
171,1869,Saint Kitts And Nevis
172,1758,Saint Lucia
173,508,Saint Pierre And Miquelon
174,1784,Saint Vincent And The Grenadines
175,685,Samoa
176,378,San Marino
177,239,Sao Tome And Principe
178,882,Satellite 882
179,966,Saudi Arabia
180,221,Senegal
181,381,Serbia
182,248,Seychelles
183,232,Sierra Leone
184,65,Singapore
185,421,Slovakia
186,386,Slovenia
187,677,Solomon Islands
188,252,Somalia
189,27,South Africa
190,82,South Korea
191,34,Spain
192,94,Sri Lanka
193,211,SS
194,1758,St. Lucia
195,249,Sudan
196,597,Suriname
197,268,Swaziland
198,46,Sweden
199,41,Switzerland
200,963,Syria
201,886,Taiwan
202,992,Tajikistan
203,255,Tanzania
204,66,Thailand
205,243,The Democratic Republic Of Congo
206,670,Timor-Leste
207,228,Togo
208,676,Tonga
209,1868,Trinidad and Tobago
210,216,Tunisia
211,90,Turkey
212,993,Turkmenistan
213,1,Turks And Caicos Islands
214,688,Tuvalu
215,256,Uganda
216,380,Ukraine
217,971,United Arab Emirates
218,44,United Kingdom
219,1340,United States
220,598,Uruguay
221,998,Uzbekistan
222,678,Vanuatu
223,39,Vatican
224,58,Venezuela
225,84,Vietnam
226,681,Wallis And Futuna
227,967,Yemen
228,260,Zambia
229,263,Zimbabwe
